time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.7930920277100735e-07,6.59604094911912e-07,10.007432535343666,6.282630363797052,0.00015667062611690596,0.0,-1.624410365617324e-05,7.19821076980076e-06,0.24772968149709745,-0.04355462199951251,0.0073800316902156195,0.0,481.99363504503043,482.55091092297744,482.3716363640566,479.0718649971017
0.12000000000000001,-6.337959187755131e-06,-1.8601402426114778e-05,10.023660041085765,6.2801024801509655,0.0011540164537349185,0.0,-0.00026090285718722,-0.0008905441275369951,0.2931758294624207,-0.03942766137486988,0.030609698718280485,0.0,418.3436468971848,420.36109311590013,419.08550044877114,419.4429167266018
0.18,-5.174318206568232e-05,-0.00014041244790144702,10.043326387950312,6.278553684664246,0.0032573567800744385,0.0,-0.001445730796037042,-0.003352052067430186,0.36234810351251234,-0.007228113073388663,0.042723068154694774,0.0,427.21440459724425,428.24641344711443,425.1161620129754,427.86552320505797
0.23999999999999996,-0.00022993244526640027,-0.00045678003038182835,10.071844205898465,6.277917699968405,0.005334075031933949,0.0,-0.0047850357776452815,-0.007256380529783729,0.5881550771057541,-0.01837923296129612,0.008809504620371162,0.0,476.46119750686097,473.8621063345016,475.9017104081228,475.0476688939108
0.3,-0.0006492529352501327,-0.0010249423052528328,10.11380394886976,6.276307051354209,0.005927606164920718,0.0,-0.009259086659285622,-0.011831259990555348,0.8103705221331752,-0.054860210598204444,0.011974110199689164,0.0,474.51078079786083,474.75349050202016,475.74951645399403,472.9480918008586
0.36000000000000004,-0.0013302900220484126,-0.00188939865590072,10.16548460103438,6.273468545817005,0.006339409373210536,0.0,-0.013502274527433215,-0.01729363988433541,0.9122388047080763,-0.035373653915387826,-0.006072529931520977,0.0,438.8592683518258,437.35889778479844,437.45658236476254,439.0745066510057
0.4200000000000001,-0.002250807575565595,-0.0031044795618932726,10.220114159573262,6.271356263689892,0.006279006896335204,0.0,-0.017164609426073812,-0.02339263804718526,0.9087473992688483,-0.034868997455487494,0.007573689902943194,0.0,403.6758080672986,404.90521204665504,402.90297382784036,402.9479157339085
0.48000000000000015,-0.0034097400567513363,-0.004755564448447857,10.27727424081227,6.269628742221318,0.00652122089310847,0.0,-0.02150208434144122,-0.03183185397704918,0.9965131214876876,-0.01879345314590176,-0.004190422481028294,0.0,434.8029149533283,433.8162903129389,432.76131148938805,434.11184835232984
0.5400000000000001,-0.0048237136727850086,-0.006926833350069289,10.33845908143224,6.269239141816092,0.006702055253648531,0.0,-0.025629543170862988,-0.04060776282666424,1.0429390534892544,0.010805997975496565,0.014509291813514975,0.0,419.65596532584885,421.27578465007775,419.4573886052088,422.01979379673554
0.6000000000000002,-0.006511751408804472,-0.00966554439495061,10.405229308815832,6.269784749924476,0.007812625752092295,0.0,-0.03074542699261741,-0.05061617883064568,1.1826007889925185,0.00542727380437566,0.02550237105266404,0.0,449.2452352759198,450.1355583604747,451.3992156328293,450.964888001675
